cd,name,cd_info,cd_upper
ST00,게시글 상태,게시글 상태 코드,
ST01,ACTIVE,활성 게시글,ST00
ST02,INACTIVE,비활성 게시글,ST00
ST03,DELETED,삭제된 게시글,ST00
PT00,게시글 유형,게시글 타입,
PT01,공지,공지사항,PT00
PT02,자유,자유게시글,PT00
PT03,질문,다양한 질문,PT00
CA00,카테고리,카테고리 분류,
CA01,맛집,맛집 리스트,CA00
CA02,스터디,"자기계발, 외국어, 코딩테스트, 자격증",CA00
CA03,운동,"산책, 러닝, 클라이밍...",CA00
CA04,라이프,"패션, 반려동물, ....",CA00
CA05,문화,"독서, 공연, 영화, 전시, 콘서트",CA00
FC00,음식종류,"한식, 양식, 일식, 중식, 카페, 퓨전",CA01
FC01,한식,"불고기, 비빔밥 등",FC00
FC02,일식,"초밥, 라멘 등",FC00
FC03,중식,"짜장면, 짬뽕 등",FC00
FC04,양식,"파스타, 스테이크 등",FC00
FC05,카페,"커피, 디저트 등",FC00
FC06,퓨전,아시아퓨전 등,FC00
