name,category_id,address_cd,signature_menu,latitude,longitude,post_id
원조닭한마리,BC01,서울특별시 강남구 논현로10길 13,닭한마리,37.4744804,127.0499063,1
논현 손칼국수,BC01,서울특별시 강남구 논현로111길 16,칼국수,37.5077641,127.0330871,1
대치동함흥면옥,BC01,서울특별시 강남구 도곡로 424,"비빔냉면, 물냉면",37.4972804,127.0569701,1
문가네 고추장추어탕,BC01,서울특별시 강남구 밤고개로 231,추어탕,37.4738252,127.1073325,1
착한낙지,BC01,서울특별시 강동구 동남로 592,"낙지전골, 낙지덮밥",37.5392887,127.1528343,1
등나무집,BC01,서울특별시 강동구 가래여울길 20-3,매운탕,37.5778628,127.1693752,1
엄마손만두,BC01,서울특별시 강동구 올림픽로 683,만두국,37.541973,127.124592,1
최냉면,BC01,서울특별시 강동구 천호옛8길 34,산오징어물회냉면,37.5329865,127.1246791,1
별미손칼국수,BC01,서울특별시 강동구 풍성로 160,칼국수,37.5317372,127.1282338,1
동구밖장작구이,BC01,서울특별시 강동구 풍성로 309,오리구이,37.5317372,127.1282338,1
수향보쌈칼국수,BC01,서울특별시 강동구 풍성로37가길 5,보쌈,37.5328778,127.1284791,1
메기한마당,BC01,서울특별시 강북구 4.19로 36,메기매운탕,37.6450797,127.0058861,1
발산삼계탕,BC01,서울특별시 강서구 강서로 344,삼계탕,37.5563163,126.8378294,1
오복순대국,BC01,서울특별시 강서구 공항대로45길 5,순대국,37.557466,126.8560897,1
화곡영양족발,BC01,서울특별시 강서구 초록마을로2길 48,"족발, 보쌈",37.544185,126.844331,1
가막골흑염소,BC01,서울특별시 강서구 화곡로56길 37-11,"흑염소, 보신탕, 전골",37.551604,126.8511447,1
등촌 최월선칼국수,BC01,서울특별시 강서구 화곡로64길 68,버섯매운탕 칼국수,37.5564914,126.8559979,1
시골집,BC01,서울특별시 관악구 낙성대로 22-7,제육쌈밥,37.4768552,126.9584648,1
정담은보쌈,BC01,서울특별시 관악구 남부순환로 1661,보쌈,37.4846108,126.9321309,1
갯바위,BC01,서울특별시 관악구 남부순환로216길 13,매운탕,37.4804648,126.9489883,1
장수집,BC01,서울특별시 관악구 봉천로 486,"삼계탕, 보신탕",37.4860444,126.9108296,1
김영자나주곰탕,BC01,서울특별시 관악구 신림로28길 30,곰탕,37.4725882,126.9361144,1
전주식당,BC01,서울특별시 관악구 신림로66길 20,백반,37.4856073,126.9315111,1
신림순대국,BC01,서울특별시 관악구 조원로4길 8,순대국,37.4825273,126.9048809,1
해태식당,BC01,서울특별시 관악구 청룡1길 33,연포탕,37.4812089,126.9480007,1
진한방삼계탕,BC01,서울특별시 광진구 능동로 254,"한방삼계탕, 닭볶음탕",37.5473053,127.0740893,1
군자족보,BC01,서울특별시 광진구 능동로37길 10-3,백반,37.5581715,127.0792463,1
우리맛금일푸른바다,BC01,서울특별시 광진구 능동로37길 14,바다장어구이,37.558209,127.0791727,1
엄탕,BC01,서울특별시 광진구 아차산로51길 66,매운양푼갈비찜,37.5398974,127.0850516,1
광장동가온,BC01,서울특별시 광진구 아차산로78길 75,"곰국시, 떡만두국",37.5515555,127.111145,1
민물공원,BC01,서울특별시 구로구 개봉로15길 23,민물매운탕,37.4905589,126.853218,1
이천성모메존칼국수,BC01,서울특별시 구로구 경인로 18,칼국수,37.490351,126.8260222,1
이실이네,BC01,서울특별시 구로구 공원로6나길 29-21,매운탕,37.5041003,126.891318,1
석천숯불갈비,BC01,서울특별시 노원구 동일로 1001,이동갈비,37.6215016,127.0742919,1
닭한마리 공릉본점,BC01,서울특별시 노원구 동일로 1020,닭한마리,37.6215016,127.0742919,1
매일복집,BC01,서울특별시 노원구 동일로176길 42,복요리,37.6208208,127.0765154,1
최가네손두부,BC01,서울특별시 노원구 동일로242길 21,두부요리,37.6744976,127.061057,1
엄마손칼국수,BC01,서울특별시 노원구 상계로39길 5,칼국수,37.6719282,127.0808383,1
하누소,BC01,서울특별시 도봉구 노해로 327,"생갈비, 한정식",37.6514784,127.0448186,1
동적불고기,BC01,서울특별시 도봉구 도봉로109길 30,양념소갈비살,37.6472551,127.0320197,1
햇빛칼국수,BC01,서울특별시 도봉구 방학로 168,칼국수,37.6625223,127.0371393,1
풍년식당,BC01,서울특별시 동대문구 답십리로50길 6,"한방약오리, 오리전골",37.5720808,127.0582308,1
감초식당,BC01,서울특별시 동대문구 약령서길 28,돼지불갈비정식,37.5816137,127.036448,1
산천가든,BC01,서울특별시 동대문구 왕산로32길 96,한정식돌솥밥,37.5782727,127.0417739,1
용두동 복집,BC01,서울특별시 동대문구 왕산로16길 9,복,37.5773881,127.031247,1
어촌식당,BC01,서울특별시 동작구 상도로 122,생선구이정식,37.5024418,126.9484135,1
서일순대국,BC01,서울특별시 동작구 여의대방로22길 20,순대국,37.4980583,126.9261555,1
영광굴비정식,BC01,서울특별시 마포구 대흥로 43,영광굴비구이,37.5458548,126.9396397,1
마포양지설렁탕,BC01,서울특별시 마포구 새창로 6,설렁탕,37.5416493,126.9534718,1
을밀대평양냉면,BC01,서울특별시 마포구 숭문길 24,평양냉면,37.5474753,126.9454806,1
감나무집기사식당,BC01,서울특별시 마포구 연남로 25,돼지불백,37.5660608,126.9181389,1
성미골,BC01,서울특별시 마포구 월드컵로 137,이베리코흑돼지 모듬A,37.5561595,126.9100238,1
만나식당,BC01,서울특별시 마포구 월드컵로 142,이북식손왕만두,37.552033,126.9124539,1
의정부부대찌개,BC01,서울특별시 마포구 월드컵로10길 36,부대찌개,37.5550657,126.9134435,1
마포옥,BC01,서울특별시 마포구 토정로 312,한우양지설렁탕,37.539884,126.9433475,1
소담한정식,BC01,서울특별시 서대문구 경기대로9길 6,한정식,37.5639933,126.9615682,1
모래내설렁탕,BC01,서울특별시 서대문구 모래내로 271,설렁탕,37.5690105,126.9172428,1
연희동칼국수,BC01,서울특별시 서대문구 연희맛로 37,칼국수,37.5681939,126.9307768,1
청송면옥,BC01,서울특별시 서대문구 연희맛로 6,냉면,37.5668555,126.9293297,1
민스키친,BC01,서울특별시 서대문구 연희맛로 7,꼬막비빕밥,37.5667244,126.9287137,1
홍은손칼국수전문점,BC01,서울특별시 서대문구 홍은중앙로 27,칼국수,37.5930531,126.9455421,1
임병주산동칼국수,BC01,서울특별시 서초구 강남대로37길 65,칼국수,37.48543,127.032406,1
진주청국장딜리버리,BC01,서울특별시 서초구 효령로31길 14,청국장,37.4832183,126.9955949,1
메기대감,BC01,서울특별시 서초구 남부순환로350길 30,"메기매운탕, 메기불고기",37.4835324,127.0361335,1
영동족발,BC01,서울특별시 서초구 남부순환로2628-18,족발,37.48423514,127.0383217,1
대머리식당,BC01,서울특별시 성북구 돌곶이로 162,오징어볶음,37.6169507,127.0501655,1
서울갈매기,BC01,서울특별시 성북구 보문로 100,갈매기살,37.5811606,127.0221208,1
반월유황오리해물아구찜탕,BC01,서울특별시 성북구 보문로30길 36,유황오리로스,37.588267,127.0186685,1
손가네설렁탕,BC01,서울특별시 성북구 성북로15길 8,설렁탕,37.5931249,127.0004254,1
명문막국수,BC01,서울특별시 성북구 창경궁로 317,명태식혜막국수,37.5876861,127.0042158,1
함경도찹쌀순대,BC01,서울특별시 송파구 송파대로28길 32,순대국,37.4945055,127.1204267,1
부부횟집,BC01,서울특별시 송파구 오금로18길4,물회,37.51047652,127.110705,1
천상애장어家,BC01,서울특별시 송파구 중대로 174,소금구이,37.4937266,127.1190889,1
대가,BC01,서울특별시 양천구 신정중앙로 66,소갈비,37.5262129,126.8637265,1
살구나무집칼국수,BC01,서울특별시 양천구 중앙로32길 35,"칼국수, 수제비",37.5203881,126.8614435,1
영등포불닭,BC01,서울특별시 영등포구 당산로32길 8-4,국물닭발,37.526301,126.8980754,1
영일분식,BC01,서울특별시 영등포구 도림로141가길 34-1,"칼비빔국수, 만두",37.5157083,126.8907657,1
원조호수삼계탕,BC01,서울특별시 영등포구 도림로 274-1,삼계탕,37.5129686,126.8973669,1
남평식당,BC01,서울특별시 영등포구 버드나루로7길 7,곰탕,37.522903,126.9095549,1
양평옥,BC01,서울특별시 영등포구 선유로47길 8-2,꼬리곰탕,37.5357913,126.8949419,1
큰바다횟집,BC01,서울특별시 영등포구 영등포로18길 6,모듬회,37.5212084,126.8917197,1
대한옥,BC01,서울특별시 영등포구 영등포로51길 6,설렁탕,37.5199277,126.9100837,1
문배동육칼,BC01,서울특별시 용산구 백범로90길 50,육칼육개장+칼국수,37.5366988,126.9704009,1
양평매운탕,BC01,서울특별시 용산구 청파로 329,빠가사리매운탕,37.5379943,126.9692662,1
자원대구탕,BC01,서울특별시 용산구 한강대로62가길 6,대구탕,37.5347124,126.9744086,1
칡산에황제보쌈,BC01,서울특별시 은평구 은평로 189,곤드레정식,37.5999564,126.919875,1
토박이부대찌개,BC01,서울특별시 은평구 은평로21길 35,부대찌개,37.6021347,126.9335689,1
봉희설렁탕,BC01,서울특별시 은평구 증산로 413,곰탕,37.5931111,126.9138474,1
