등록번호,상호,업종,주소,메뉴,위도,경도
1,원조닭한마리,한식,서울특별시 강남구 논현로10길 13,닭한마리,37.4744804,127.0499063
2,논현 손칼국수,한식,서울특별시 강남구 논현로111길 16,칼국수,37.5077641,127.0330871
3,대치동함흥면옥,한식,서울특별시 강남구 도곡로 424,"비빔냉면, 물냉면",37.4972804,127.0569701
4,문가네 고추장추어탕,한식,서울특별시 강남구 밤고개로 231,추어탕,37.4738252,127.1073325
5,가나돈까스의집,일식,서울특별시 강남구 언주로 608,돈까스,37.514957,127.0352916
6,착한낙지,한식,서울특별시 강동구 동남로 592,"낙지전골, 낙지덮밥",37.5392887,127.1528343
7,등나무집,한식,서울특별시 강동구 가래여울길 20-3,매운탕,37.5778628,127.1693752
8,엄마손만두,한식,서울특별시 강동구 올림픽로 683,만두국,37.541973,127.124592
9,최냉면,한식,서울특별시 강동구 천호옛8길 34,산오징어물회냉면,37.5329865,127.1246791
10,별미손칼국수,한식,서울특별시 강동구 풍성로 160,칼국수,37.5317372,127.1282338
11,동구밖장작구이,한식,서울특별시 강동구 풍성로 309,오리구이,37.5317372,127.1282338
12,수향보쌈칼국수,한식,서울특별시 강동구 풍성로37가길 5,보쌈,37.5328778,127.1284791
13,메기한마당,한식,서울특별시 강북구 4.19로 36,메기매운탕,37.6450797,127.0058861
14,발산삼계탕,한식,서울특별시 강서구 강서로 344,삼계탕,37.5563163,126.8378294
15,오복순대국,한식,서울특별시 강서구 공항대로45길 5,순대국,37.557466,126.8560897
16,화곡영양족발,한식,서울특별시 강서구 초록마을로2길 48,"족발, 보쌈",37.544185,126.844331
17,가막골흑염소,한식,서울특별시 강서구 화곡로56길 37-11,"흑염소, 보신탕, 전골",37.551604,126.8511447
18,등촌 최월선칼국수,한식,서울특별시 강서구 화곡로64길 68,버섯매운탕 칼국수,37.5564914,126.8559979
19,시골집,한식,서울특별시 관악구 낙성대로 22-7,제육쌈밥,37.4768552,126.9584648
20,정담은보쌈,한식,서울특별시 관악구 남부순환로 1661,보쌈,37.4846108,126.9321309
21,갯바위,한식,서울특별시 관악구 남부순환로216길 13,매운탕,37.4804648,126.9489883
22,장수집,한식,서울특별시 관악구 봉천로 486,"삼계탕, 보신탕",37.4860444,126.9108296
23,김영자나주곰탕,한식,서울특별시 관악구 신림로28길 30,곰탕,37.4725882,126.9361144
24,전주식당,한식,서울특별시 관악구 신림로66길 20,백반,37.4856073,126.9315111
25,신림순대국,한식,서울특별시 관악구 조원로4길 8,순대국,37.4825273,126.9048809
26,해태식당,한식,서울특별시 관악구 청룡1길 33,연포탕,37.4812089,126.9480007
27,진한방삼계탕,한식,서울특별시 광진구 능동로 254,"한방삼계탕, 닭볶음탕",37.5473053,127.0740893
28,군자족보,한식,서울특별시 광진구 능동로37길 10-3,백반,37.5581715,127.0792463
29,우리맛금일푸른바다,한식,서울특별시 광진구 능동로37길 14,바다장어구이,37.558209,127.0791727
30,엄탕,한식,서울특별시 광진구 아차산로51길 66,매운양푼갈비찜,37.5398974,127.0850516
31,광장동가온,한식,서울특별시 광진구 아차산로78길 75,"곰국시, 떡만두국",37.5515555,127.111145
32,아울,일식,서울특별시 광진구 자양로18길 36,수제돈까스,37.5377819,127.0855927
33,민물공원,한식,서울특별시 구로구 개봉로15길 23,민물매운탕,37.4905589,126.853218
34,이천성모메존칼국수,한식,서울특별시 구로구 경인로 18,칼국수,37.490351,126.8260222
35,이실이네,한식,서울특별시 구로구 공원로6나길 29-21,매운탕,37.5041003,126.891318
36,초가삼계탕,일식,서울특별시 금천구 시흥대로38길 43,들깨삼계탕,37.4458141,126.9044565
37,석천숯불갈비,한식,서울특별시 노원구 동일로 1001,이동갈비,37.6215016,127.0742919
38,닭한마리 공릉본점,한식,서울특별시 노원구 동일로 1020,닭한마리,37.6215016,127.0742919
39,매일복집,한식,서울특별시 노원구 동일로176길 42,복요리,37.6208208,127.0765154
