crawling_id,title,content,article_url,map_id,shop_id,category_cd,information_cd,shop_cd,created_dt,sentimental,score,keywords
343,Crawl - 정화식당,,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Crawl - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.5076,
344,Review - 정화식당,오징어볶음 좋아하시는 부모님과 함께 방문했어요! 신발 벗고 들어가야하는 턱이 현관에 하나 있는데 몸이 불편하셔서 그냥 신고 들어갈 수 있게 해주셨네요ㅠㅠ 서빙 도와주시는 한 분께서 너무 친절하셔서 감동받았어요..!갈치조림은 매진이라 오징어볶음이랑 제육볶음 먹었어요! 둘다 달콤한 양념이 되어있고 반찬도  맛있어서 너무 잘 먹고 나왔네요!!9시까지지만 8시에 주방 마감하오니 일찍 가셔야할 듯.주차자리는 있지만 엄청 협소해서 거의 주차를 못한다고 생각해야 함.,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9975,#너무 친절하셔서#감동받았어요#너무 잘 먹고
345,Review - 정화식당,"강릉맛집이라고 유명하다길래 평일 저녁 방문했습니다! 기본 2인 이상씩 주문해여돼서 둘이서 뭐먹을까 고민하다 대표메뉴인 갈치조림 주문했습니다. 깔끔하고 맛있긴 한데 또 가서 먹을만 한? 정도는 아닌 것 같고, 강릉여행 간다면 한 번쯤은 먹을만 합니다!","<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,negative,0.8693,#또 가서 먹을만 한? 정도는 아닌 것 같고#한 번쯤은 먹을만 합니다
346,Review - 정화식당,이전에 방문하고 너무 가성비도 좋고 맛있어서 재방문했어요! 여전히 맛있고 사람은 더많아졌네요ㅋㅋ!,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.992,#가성비도 좋고#맛있어서 재방문했어요#여전히 맛있고
347,Review - 정화식당,오늘 이거 볶음이 너무 맛있어요. 오징어가 통통하고 양념이 달 큰 해서 아주 맛있습니다.,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9929,#너무 맛있어요#아주 맛있습니다#오징어가 통통하고#양념이 달 큰
348,Review - 정화식당,강릉갔다가 방문했어요 갈치조림이랑 오징어볶음이 유명해서 시켰고 아주 맛있었습니다 가게가 좁은데 웨이팅이 꽤있어서 복잡하고 불편했는데 일하시는분들도 다 친절하시고 맛있게먹었어요,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9931,#아주 맛있었습니다#친절하시고#맛있게먹었어요
349,Review - 정화식당,반찬도 맛있고 오징어 볶음이 진짜 맛있어요 또 밥 한그릇 먹으러 가고싶네욤 ㅠ,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9934,#맛있고 오징어 볶음#진짜 맛있어요#밥 한그릇
350,Review - 정화식당,강릉의 작은 식당인데 방문객도 많고 맛도 좋고 가성비도 좋아요,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9857,#방문객도 많고#맛도 좋고#가성비도 좋아요
351,Review - 정화식당,갈치조림 그렇게 안 좋아하는데 진짜 맛있게 먹었습니다 재방문각,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.9934,#진짜 맛있게 먹었습니다#재방문각
352,Review - 정화식당,강릉에 허름하지만 가성비있고 서민적으로 맛있는 밥집입니다. 갈치조림과 오징어볶음이 대표메뉴입니다. 식당 밖에서 대기하는 게 좀 불편해도 음식 맛을 보고 나면 왜 웨이팅 하는지 고개가 끄덕여지는 곳이에요.이 집은 마성의 소스가 음식재료 불문 맛있는 요리로 변신시켜버리네요. 갈치조림은 일인당 세도막이나 줘서 푸짐한데 인당 12000원이니 극강의 가성비입니다. 세네갈 산 갈치가 무슨 소용입니까? 살은 부드럽고 소스가 말도 못하게 맛있는데요. 오징어볶음도 그냥 최고로 맛이 좋습니다. 가격대비 맛이 극강이에요. 밥도둑.내부는 좁아서 복작 거립니다. 줄만 잘설 자신 있으면 도전해 보세요. 밥먹는게 전쟁입니다. 현지인 맛집이라지만 이렇게 밥먹기 힘들면 현지인은 이제 안갈듯 하네요… 숟가락 같은걸 받아서 번호 대기하는데요. 잘 따져 보세요. 순서를 다르게 부르기도 한답니다.,"<a href=""https://www.diningcode.com/profile.php?rid=6aWyYNteKqMY"">Review - 정화식당</a> ",1,1,CA01,IC01,SC01,2026-05-08 10:32,positive,0.8605,#가성비있고 서민적으로#대표메뉴입니다#극강의 가성비#음식 맛을 보고 나면#가장 맛이 좋습니다#밥도둑
