cd,name,cd_info,cd_upper
TC00,테이블,테이블명,
TC01,codeT,코드테이블,TC00
TC02,users,유저테이블,TC00
TC03,maps,지도테이블,TC00
TC04,posts,"게시글, 커뮤니티, 리뷰 테이블",TC00
TC05,images,이미지테이블,TC00
TC06,comments,댓글테이블,TC00
TC07,likes,좋아요테이블,TC00
TC08,shop,가게테이블,TC00
TC09,menu,메뉴테이블,TC00
TC10,crawling,크롤링테이블,TC00
US00,사용자 상태,사용자 상태 코드,
US01,ACTIVE,활성 사용자,US00
US02,INACTIVE,비활성 사용자,US00
US03,BLOCKED,차단 사용자,US00
US04,DELETED,탈퇴/삭제 사용자,US00
ST00,게시글 상태,게시글 상태 코드,
ST01,ACTIVE,활성 게시글,ST00
ST02,INACTIVE,비활성 게시글,ST00
ST03,DELETED,삭제된 게시글,ST00
PT00,게시글 유형,게시글 타입,
PT01,게시글,"나눔, 정보, 스터디,....",PT00
PT02,커뮤니티,모임,PT00
PT03,운영,"공지사항, 크롤링 정보, 맛집리뷰",PT00
CA00,카테고리,카테고리 분류,
CA01,맛집,맛집 리스트,CA00
CA02,스터디,"자기계발, 외국어, 코딩테스트, 자격증",CA00
CA03,운동,"산책, 러닝, 클라이밍...",CA00
CA04,일상,"패션, 반려동물, ....",CA00
CA05,취미,"독서, 공연, 영화, 전시, 콘서트",CA00
CA06,나눔,중고나눔,CA00
CA07,정보,크롤링 정보,CA00
CA08,기타,ETC,CA00
FC00,음식종류,"한식, 양식, 일식, 중식, 카페, 퓨전",
FC01,한식,"불고기, 비빔밥 등",FC00
FC02,일식,"초밥, 라멘 등",FC00
FC03,중식,"짜장면, 짬뽕 등",FC00
FC04,양식,"파스타, 스테이크 등",FC00
FC05,카페,"커피, 디저트 등",FC00
FC06,퓨전,아시아퓨전 등,FC00
LA00,지역코드,전국 시군구 단위,
LA01,강원특별자치도 강릉시,주소,LA00
LA02,강원특별자치도 고성군,주소,LA00
LA03,강원특별자치도 동해시,주소,LA00
LA04,강원특별자치도 삼척시,주소,LA00
LA05,강원특별자치도 속초시,주소,LA00
LA06,강원특별자치도 양구군,주소,LA00
LA07,강원특별자치도 양양군,주소,LA00
LA08,강원특별자치도 영월군,주소,LA00
LA09,강원특별자치도 원주시,주소,LA00
LA10,강원특별자치도 인제군,주소,LA00
LA11,강원특별자치도 정선군,주소,LA00
LA12,강원특별자치도 철원군,주소,LA00
LA13,강원특별자치도 춘천시,주소,LA00
LA14,강원특별자치도 태백시,주소,LA00
LA15,강원특별자치도 평창군,주소,LA00
LA16,강원특별자치도 홍천군,주소,LA00
LA17,강원특별자치도 화천군,주소,LA00
LA18,강원특별자치도 횡성군,주소,LA00
LA19,경기도 가평군,주소,LA00
LA20,경기도 고양시 덕양구,주소,LA00
LA21,경기도 고양시 일산동구,주소,LA00
LA22,경기도 고양시 일산서구,주소,LA00
LA23,경기도 광명시,주소,LA00
LA24,경기도 광주시,주소,LA00
LA25,경기도 구리시,주소,LA00
LA26,경기도 군포시,주소,LA00
LA27,경기도 김포시,주소,LA00
LA28,경기도 남양주시,주소,LA00
LA29,경기도 동두천시,주소,LA00
LA30,경기도 부천시 소사구,주소,LA00
LA31,경기도 부천시 원미구,주소,LA00
LA32,경기도 성남시 분당구,주소,LA00
LA33,경기도 성남시 수정구,주소,LA00
LA34,경기도 수원시 권선구,주소,LA00
LA35,경기도 수원시 영통구,주소,LA00
LA36,경기도 수원시 장안구,주소,LA00
LA37,경기도 수원시 팔달구,주소,LA00
LA38,경기도 시흥시,주소,LA00
LA39,경기도 안산시 단원구,주소,LA00
LA40,경기도 안산시 상록구,주소,LA00
LA41,경기도 안성시,주소,LA00
LA42,경기도 안양시 동안구,주소,LA00
LA43,경기도 안양시 만안구,주소,LA00
LA44,경기도 양주시,주소,LA00
LA45,경기도 양평군,주소,LA00
LA46,경기도 여주시,주소,LA00
LA47,경기도 연천군,주소,LA00
LA48,경기도 오산시,주소,LA00
LA49,경기도 용인시 기흥구,주소,LA00
LA50,경기도 용인시 수지구,주소,LA00
LA51,경기도 용인시 처인구,주소,LA00
LA52,경기도 의왕시,주소,LA00
LA53,경기도 의정부시,주소,LA00
LA54,경기도 이천시,주소,LA00
LA55,경기도 파주시,주소,LA00
LA56,경기도 평택시,주소,LA00
LA57,경기도 포천시,주소,LA00
LA58,경기도 하남시,주소,LA00
LA59,경기도 화성시 만세구,주소,LA00
LA60,경기도 화성시 병점구,주소,LA00
LA61,경기도 화성시 효행구,주소,LA00
LA62,경상남도 거제시,주소,LA00
LA63,경상남도 거창군,주소,LA00
LA64,경상남도 고성군,주소,LA00
LA65,경상남도 김해시,주소,LA00
LA66,경상남도 남해군,주소,LA00
LA67,경상남도 밀양시,주소,LA00
LA68,경상남도 사천시,주소,LA00
LA69,경상남도 산청군,주소,LA00
LA70,경상남도 양산시,주소,LA00
LA71,경상남도 의령군,주소,LA00
LA72,경상남도 진주시,주소,LA00
LA73,경상남도 창녕군,주소,LA00
LA74,경상남도 창원시 마산합포구,주소,LA00
LA75,경상남도 창원시 마산회원구,주소,LA00
LA76,경상남도 창원시 성산구,주소,LA00
LA77,경상남도 창원시 의창구,주소,LA00
LA78,경상남도 창원시 진해구,주소,LA00
LA79,경상남도 통영시,주소,LA00
LA80,경상남도 하동군,주소,LA00
LA81,경상남도 함안군,주소,LA00
LA82,경상남도 함양군,주소,LA00
LA83,경상남도 합천군,주소,LA00
LA84,경상북도 경산시,주소,LA00
LA85,경상북도 경주시,주소,LA00
LA86,경상북도 고령군,주소,LA00
LA87,경상북도 구미시,주소,LA00
LA88,경상북도 김천시,주소,LA00
