"map_id","name","category_cd","address_cd","address_detail","latitude","longitude"
1,정화식당,SC01,LA01,강원도 정화식당,37.7575841,128.8968316
2,썬 한식 정동진 본점,SC01,LA01,강원도 썬한식,37.6907694,129.0312398
3,천일식당,SC01,LA01,강원도 1층,37.7593218,128.8988435
4,서당골산채,SC01,LA01,강원도 지번,37.7560371,128.8921283
5,차현희순두부청국장,SC01,LA01,강원특별자치도 지번,37.7908683,128.9163142
6,불개미식당,SC01,LA01,강원도 지번,37.7530925,128.8984516
7,강릉불고기 본점,SC01,LA01,강원도 지번,37.7491172,128.9597007
8,라카이 키친,SC01,LA01,강원도 지번,37.8060553,128.9044715
9,소도리,SC01,LA01,강원도 지번,37.9041429,128.8276161
10,빛고을식당,SC01,LA01,강원도 빛고을식당,37.8026496,128.9102269
