"menu_id","shop_id","name","price"
1,1,갈치조림,13000
2,1,오징어볶음,12000
3,1,김치두루치기,12000
4,1,제육볶음,11000
5,2,초당 하얀 순두부,10000
6,2,짬뽕순두부,14000
7,2,두부꽃게전골(중),45000
8,2,두부꽃게전골(소),40000
9,2,모두부,8000
10,2,파전,14000
11,2,해물전복칼국수 중,45000
12,2,불고기전골,17000
13,2,순두부전골 대,40000
14,2,순두부전골 중,35000
15,2,순두부전골 소,30000
16,2,황태 해장국,12000
17,2,메밀전,8000
18,2,돌솥비빔밥,14000
19,2,두부꽃게전골(대),50000
20,3,김치뽀글이,11000
21,3,제육볶음,12000
22,3,오삼불고기,12000
23,3,오징어볶음,12000
24,3,차돌낙지볶음,13000
25,4,보리굴비 정식,25000
26,4,더덕구이,14000
27,4,황태구이,14000
28,4,서당골 정식 B (2인 이상),25000
29,4,서당골 정식 A(4인 이상 예약필수),35000
30,4,산채 정식 (2인 이상),12000
31,4,돌솥 정식 (2인 이상),17000
32,4,황태구이 정식 (2인 이상),15000
33,5,모두부,12000
34,5,모두부반모,8000
35,5,어린이순두부,10000
36,5,순두부전골정식,20000
37,5,두부전골정식,20000
38,5,청국장정식,20000
39,5,순두부흰색(간장)정식,20000
40,5,콩비지전골정식,20000
41,5,가자미추가,10000
42,5,황태구이추가,15000
43,5,콩비지추가,3000
44,5,콩비지전골,15000
45,5,순두부전골,15000
46,5,두부전골,15000
47,5,청국장,15000
48,5,순두부흰색(간장),15000
49,6,보리밥 정식,12000
50,6,쌀밥 정식,12000
51,6,돼지두루치기,25000
52,7,한우 옛날 산더미 파불고기,20000
53,7,엄마표된장찌개,2000
54,7,모두부,5000
55,7,찰강냉이범벅,5000
56,8,LA갈비와 낙지 돌솥비빔밥,38000
57,8,은대구 간장구이 정식,30000
58,8,해산물탕면,22000
59,8,팔진해산물덮밥,25000
60,8,갈비탕,25000
61,9,고추장돼지불고기/간장돼지불고기,14000
62,9,얼큰오징어 뚝배기,12000
63,9,시래기된장뚝배기,11000
64,9,동치미비빔밥,11000
65,9,(추가단품)고추장/간장돼지불고기,10000
66,9,음료 : 스프라이트 / 펩시,2000
67,9,소도리단밥(식혜)300ml(포장가능),2000
68,10,빛고을정식,39000
69,10,해물순두부,14000
70,10,초당순두부찌개,11000
71,10,해물짬뽕,12000
72,10,황태구이,16000
73,10,제육덮밥,13000
74,10,바지락칼국수,11000
