no,요구사항MD,요구사항 명,상세 요구사항 정의,정의,구분,도출단계,상태,제약사항,수용여부,변경내역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR-HOME-01,앱 실행 시 홈 화면(게시글 인기 목록)표시,앱 실행 시 홈(게시글 목록) 화면이 표시된다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FR-HOME-02,기본 탭 상태,최초 진입 시 기본 탭은 “인기”로 선택된 상태로 초기 로딩이 정상 수행되어야 한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FR-HOME-03,인기 탭 조회/정렬,인기 탭은 좋아요 수 내림차순으로 게시글을 조회한다. (예: 0~100),기능,신규,,,페이징 기준 서버 합의 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PR-HOME-01,게시글 목록 정책,"스크롤 Down/Up 시 기준 인덱스에 따라 다음/이전 구간을 추가 호출한다. (예: 300↑이면 다음 구간 호출, 700↓이면 이전 구간 재호출)",성능,신규,,,과호출 방지(캐싱/쓰로틀) 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FR-HOME-04,게시글 목록 비정기 갱신,게시글 목록 표시 중 “min~max 범위” 재요청을 통해 해당 ID의 표시 정보(좋아요 수/제목 등)를 갱신한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FR-HOME-05,최신 탭 조회/정렬,최신 탭은 갱신일 기준 내림차순으로 게시글을 조회한다. (예: 0~100),기능,신규,,,페이징 기준 서버 합의 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FR-HOME-06,카테고리 필터,카테고리(스터디/운동/맛집/취미/네트워킹/기타) 선택 시 해당 카테고리 게시글 목록를 조회한다.,기능,신규,,,카테고리 값 정의 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FR-SCOPE-01,2차 애자일 범위 제외,내 관심/커뮤니티/채팅/마이페이지 탭 기능은 2차 애자일에서 개발한다.,기능,신규,,,(범위 제외),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FR-POST-01,게시글 상세 진입,홈(게시글 목록)/지도/기타 진입점에서 특정 게시글 선택 시 해당 게시글 상세 화면으로 이동한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FR-POST-02,상세 데이터 로드,"상세 화면 로딩 시 게시글 기본 정보 + 이미지 + 위치 + 좋아요 상태 + 댓글 목록을 조회한다. (예: post, post_image, map, like, comment, title, content)",기능,신규,,,응답 모델 표준화 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FR-POST-03,상세 비정기 갱신,사용자가 보고 있는 게시글(ID)의 최신 정보를 재요청하여 화면을 갱신한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FR-LIKE-01,좋아요 토글,좋아요 버튼 클릭 시 현재 상태에 따라 좋아요 요청을 서버로 전달하고 UI 상태를 갱신한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FR-LIKE-02,좋아요 수 갱신 방식,좋아요 수는 post.like_count 컬럼을 증감하여 관리한다. (원천 기록은 like_table 유지),기능,신규,,,트랜잭션/유니크 제약 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FR-CMT-01,댓글 목록 조회,게시글 상세 진입 시 댓글을 작성일자 내림차순으로 조회한다. (예: 0~100),기능,신규,,,페이징 기준 서버 합의 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PR-CMT-01,댓글 페이징,댓글 스크롤에 따라 다음/이전 구간을 추가 호출한다.,성능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
