comment_id,post_id,user_id,content,created_at,modify_at,status_cd,thread,crawling_id
,,,유용한 정보입니다!!,2026-03-20T15:13:57.417000+09:00,2026-03-20T15:13:57.417000+09:00,,pyto_9276,18
,,,"앗, 서율님! 감사합니다!!",2026-03-20T23:00:44.458000+09:00,2026-03-20T23:00:44.458000+09:00,,pyto_9276,18
,,,coyai: 미국과 소련이 2차대전에서 탱크 강국이었던 독일을 이긴 것도 대량 생산 시스템이 이긴 것이고 MS의 윈도우즈가 지금 말도 안되게 망가지고 있는 것도 수 천 만 라인의 윈도우즈 코드를 어떻게 해볼 도리가 없어서라는 썰도 있는데 이걸 먼저 장착하고 이 글을 읽어 주세요. 위 내용을 감안하고 보더라도 지나치게 편향된 관점에서 이루어진 대화 같아요.,2025-09-09T09:57:19.484000+09:00,2025-09-09T09:57:19.484000+09:00,,pyto_7692,27
,,,Javascript macro처럼 마우스 클릭도 하고 file도 저장하고 Windows상 task 자동화에 반드시 필요합니다. 아마도 윈도우 sdk와 함께 개발해야 해서 C++와 Python을 동시에 구현할수 있어야 관련 solution을 만들수 있으니 요구도 아주 높은 앱인것 같습니다. MS가 개발해야 하는 솔루션인데 MS는 뭐하고 있는지 궁금합니다.,2025-09-16T01:39:24.006000+09:00,2025-09-16T01:39:24.006000+09:00,,pyto_7694,100
,,,"그러게요, Claude cowork 를 압살할 정도로 인기가 많을 법한데요 copilot 으로 어슬프게 헛다리만 짚고 있네요, 보안문제떄문에 일부러 속도를 늦추는것 같기도하구요",2026-02-26T18:45:34.748000+09:00,2026-02-26T18:45:34.748000+09:00,,pyto_7694,100
,,,"아이디어들은 비슷비슷한데, 상품화를 누가 빨리하느냐의 문제같네요.",2026-04-07T18:19:21.507000+09:00,2026-04-07T18:19:21.507000+09:00,,pyto_9562,178
,,,"많이 배우고 갑니다. 요즘에 OpenAI Whisper 모델에 대해서 논문을 구현해봤는데, 많은 관심과 스타를 눌러주시면 감사하겠습니다. github.com GitHub - dhyuk54/kg-whisper: Keyword-Guided Whisper with AdaKWS - Paper... Keyword-Guided Whisper with AdaKWS - Paper Reproduction",2026-04-03T09:23:41.159000+09:00,2026-04-03T09:23:41.159000+09:00,,pyto_9448,195
,,,"공유 감사합니다, @hyuk 님. 아래와 같이 공유해주신 KG-Whisper 프로젝트 소개 글도 작성해보았습니다. KG-Whisper: 키워드 가이드(KG)를 통한 음성 인식(ASR) 최적화 구현 프로젝트 (feat. @hyuk님) 읽을거리&정보공유 [KG-Whisper: 키워드 가이드를 통한 음성 인식(ASR) 최적화 구현 프로젝트 (feat. @hyuk님)] KG-Whisper 소개 OpenAI의 Whisper는 강력한 다국어 음성 인식 성능을 자랑하며 다양한 분야에서 널리 사용되고 있지만, 전문 도메인(의료, 법률, 금융 등)의 고유 명사나 특수한 용어를 정확하게 인식하는 데에는 여전히 한계를 보일 때가 많습니다. 범용적인 데이터셋으로 학습된 모델이 특정 산업군의 전문 용어를 접했을 때, 발음이나 문맥이 유사한 일반적인 단어로 잘못 예측하는 경우가 빈번하게 발생하기 때문입니다. 이러한 문제를 해결하기 위해서는 전체 모델을 재학습시키거나 파인튜닝(Fine-tuning)하는 방식이 주로 고려되지만, 이는 막대한 컴퓨팅 자원과 도메인 특화 데이터 구축 비용을 수반합니다. 이번에 @hyuk 님께서 공개하신 KG-Whisper 프로젝트는 이러한 한계를 매우 우아하고 효율적인 방식으로 극복하는 방법을 제시합니다. 이 저장소는 a…",2026-04-03T13:13:42.012000+09:00,2026-04-03T13:13:42.012000+09:00,,pyto_9448,195
,,,"얘랑 이번에 나온 gemma4랑 매칭만 되면, 한동안 끝판왕이 될지도 모른다는 기대감이 차오르네요. 언제쯤 지원하려나..",2026-04-03T15:07:40.906000+09:00,2026-04-03T15:07:40.906000+09:00,,pyto_9465,197
,,,"와우, 멋진 프로젝트 공유 감사합니다! 먼저 부터 찍고 왔습니다 ㅎㅎ 잘 사용하겠습니다!",2026-03-31T11:10:36.096000+09:00,2026-03-31T11:10:36.096000+09:00,,pyto_9470,198
,,,감사합니다.,2025-10-14T10:03:09.510000+09:00,2025-10-14T10:03:09.510000+09:00,,pyto_7943,234
,,,너무 잘 읽고 있습니다! 감사합니다!,2025-10-14T17:46:21.769000+09:00,2025-10-14T17:46:21.769000+09:00,,pyto_7943,234
,,,프로젝트 소개 감사합니다! ^^ 찍고 왔습니다,2025-09-30T06:19:21.852000+09:00,2025-09-30T06:19:21.852000+09:00,,pyto_7864,242
,,,제 프로젝트에 관심을 가져주셔서 감사합니다!ㅎㅎㅎ,2025-09-30T22:00:33.672000+09:00,2025-09-30T22:00:33.672000+09:00,,pyto_7864,242
