name,category_cd,address_cd,address_detail,latitude,longitude
진심담은 된장찌개 진된장 가산본점,FC01,LA150,벚꽃로36길 30 제씨118호 지번,,
순남시래기 가산역점,FC01,LA150,가산디지털1로 186 제이플라츠 A동 지하1층 지번,,
가마솥 서울깍두기,FC01,LA150,가산디지털1로 186 지번,,
사월에보리밥과쭈꾸미 현대아울렛 가산점,FC01,LA150,디지털로10길 9 지상7층 지번,,
맨날먹는 김치찌개 가산 DK점,FC01,LA00,"서울 금천구 가산디지털2로 144 107호, 108호 지번",,
모시네,FC01,LA150,가산디지털2로 142-12 지번,,
북창동순두부 가산현대아울렛점,FC01,LA150,디지털로10길 9 지상6층 지번,,
오늘된장 가산점,FC01,LA150,가산디지털1로 171 1층 124-1호 지번,,
소공동뚝배기,FC01,LA150,가산디지털1로 168 우림라이온스밸리 지번,,
백채김치찌개 독산시티렉스점,FC01,LA150,시흥대로 399 1층 113호 백채김치찌개 지번,,
항아리식당,FC01,LA150,시흥대로76길 9 지번,,
육미정담,FC01,LA150,독산로 135 지번,,
서울돼지불백갈비막국수,FC01,LA150,시흥대로63길 3 지상1층 지번,,
북창동순두부 독산점,FC01,LA150,시흥대로123길 14 지번,,
이선생짜글이 가산점,FC01,LA150,가산디지털1로 181 가산W센터 207호 지번,,
김치도가 독산역점,FC01,LA150,가산디지털1로 2 우림라이온스벨리 2차 1층 115~116호 지번,,
함경도식당,FC01,LA150,시흥대로50길 34 지번,,
정백어가 가산퍼블릭점,FC01,LA150,디지털로 178 A동 1층 엠128호 지번,,
한옥마을 전주비빔밥 가산점,FC01,LA150,서부샛길 606 A동 지하1층 107-2호 지번,,
본가찌개마을 가산본점,FC01,LA00,서울 금천구 가산디지털1로 219 111호 지번,,
신선도,FC02,LA150,"디지털로9길 32 지하 102호, 103호 지번",,
민소푸,FC02,LA150,가산디지털2로 166 1층 지번,,
스시이찌 가산점,FC02,LA150,"가산디지털1로 204 가산역반도아이비밸리 1층 114호, 115호 지번",,
고조,FC02,LA150,가산디지털2로 101 B동 2층 202호 지번,,
고칸 대륭포스트5차점,FC02,LA150,디지털로9길 68 1층 108호 지번,,
히나타,FC02,LA150,가산디지털1로 16 107-1R호 지번,,
명서쿠 가산디지털단지직영점,FC02,LA150,가산디지털1로 204 109호 110호 지번,,
4월의오또상,FC02,LA150,가산디지털1로 204 반도아이비밸리 1층 119호 지번,,
오키소바,FC02,LA150,가산디지털1로 128 b129호 지번,,
호랑이초밥 가산디지털단지점,FC02,LA150,가산디지털1로 186 제이플라츠 지하1층 118-2호 지번,,
갓포소,FC02,LA150,가산디지털2로 144 현대테라타워가산DK 1층 106호 지번,,
요미우돈교자 퍼블릭가산점,FC02,LA150,디지털로 178 가산퍼블릭 B동 1층 M-130호 지번,,
코코로식당,FC02,LA150,벚꽃로38길 32-25 2층 지번,,
텐마루,FC02,LA150,디지털로12길 21 2층 지번,,
스시히또,FC02,LA150,벚꽃로 286 리더스타워 지하1층 114호 지번,,
요시카츠,FC02,LA150,벚꽃로 266 지번,,
준스시,FC02,LA150,가산디지털2로 165 1층 준스시 지번,,
미미초밥 금천점,FC02,LA150,시흥대로 192 지번,,
코미오,FC02,LA150,가산디지털2로 142-13 1층 지번,,
스시쥬베이,FC02,LA150,가산로 147 지번,,
동흥관,FC03,LA150,시흥대로63길 20 지번,,
카오룽,FC03,LA150,시흥대로 291 2층 215호 지번,,
예원 가산점,FC03,LA150,가산디지털1로 145 에이스하이엔드타워3차 203호 지번,,
보배반점 가산점,FC03,LA150,가산디지털2로 123 103호 지번,,
호랭이반점 가산디지털단지역점,FC03,LA150,가산디지털1로 165 가산비지니스센터 105호 지번,,
황실왕짬뽕,FC03,LA150,가산디지털2로 108 1층 111호 지번,,
빠오즈푸 가산점,FC03,LA150,벚꽃로 298 대륭포스트타워6차 지하1층 139호 지번,,
니뽕내뽕 현대아울렛가산점,FC03,LA150,디지털로10길 9 현대시티아울렛 6층 지번,,
중화요리 연,FC03,LA150,가산디지털1로 225 1층 116호 지번,,
고구려짬뽕10101,FC03,LA150,시흥대로52길 7 지번,,
비스트로딤섬,FC03,LA150,시흥대로 291 1층 171호 지번,,
백스키친,FC03,LA150,가마산로 96 지번,,
실라칸스 마리오아울렛점,FC03,LA150,디지털로9길 23 마리오아울렛 3관 13층 실라칸스 지번,,
김사부 샤브샤브,FC03,LA150,가산로 132 지번,,
만다린,FC03,LA150,가산디지털1로 186 제이플라츠 B121 만다린 지번,,
조선짬뽕,FC03,LA150,독산로 85 지번,,
