store_name,store_address,category_cd,rating
진심담은 된장찌개 진된장 가산본점,벚꽃로36길 30 제씨118호 지번,FC01,4.6
순남시래기 가산역점,가산디지털1로 186 제이플라츠 A동 지하1층 지번,FC01,4.6
가마솥 서울깍두기,가산디지털1로 186 지번,FC01,3.7
사월에보리밥과쭈꾸미 현대아울렛 가산점,디지털로10길 9 지상7층 지번,FC01,2.7
맨날먹는 김치찌개 가산 DK점,"서울 금천구 가산디지털2로 144 107호, 108호 지번",FC01,4.5
모시네,가산디지털2로 142-12 지번,FC01,4.4
북창동순두부 가산현대아울렛점,디지털로10길 9 지상6층 지번,FC01,5.0
오늘된장 가산점,가산디지털1로 171 1층 124-1호 지번,FC01,3.5
소공동뚝배기,가산디지털1로 168 우림라이온스밸리 지번,FC01,4.3
백채김치찌개 독산시티렉스점,시흥대로 399 1층 113호 백채김치찌개 지번,FC01,4.4
항아리식당,시흥대로76길 9 지번,FC01,5.0
육미정담,독산로 135 지번,FC01,5.0
서울돼지불백갈비막국수,시흥대로63길 3 지상1층 지번,FC01,4.7
북창동순두부 독산점,시흥대로123길 14 지번,FC01,4.3
이선생짜글이 가산점,가산디지털1로 181 가산W센터 207호 지번,FC01,4.0
김치도가 독산역점,가산디지털1로 2 우림라이온스벨리 2차 1층 115~116호 지번,FC01,3.7
함경도식당,시흥대로50길 34 지번,FC01,5.0
정백어가 가산퍼블릭점,디지털로 178 A동 1층 엠128호 지번,FC01,3.4
한옥마을 전주비빔밥 가산점,서부샛길 606 A동 지하1층 107-2호 지번,FC01,4.5
본가찌개마을 가산본점,서울 금천구 가산디지털1로 219 111호 지번,FC01,4.4
신선도,"디지털로9길 32 지하 102호, 103호 지번",FC02,5.0
민소푸,가산디지털2로 166 1층 지번,FC02,4.6
스시이찌 가산점,"가산디지털1로 204 가산역반도아이비밸리 1층 114호, 115호 지번",FC02,4.8
고조,가산디지털2로 101 B동 2층 202호 지번,FC02,4.8
고칸 대륭포스트5차점,디지털로9길 68 1층 108호 지번,FC02,4.5
히나타,가산디지털1로 16 107-1R호 지번,FC02,4.7
명서쿠 가산디지털단지직영점,가산디지털1로 204 109호 110호 지번,FC02,3.3
4월의오또상,가산디지털1로 204 반도아이비밸리 1층 119호 지번,FC02,3.8
오키소바,가산디지털1로 128 b129호 지번,FC02,3.0
호랑이초밥 가산디지털단지점,가산디지털1로 186 제이플라츠 지하1층 118-2호 지번,FC02,4.8
갓포소,가산디지털2로 144 현대테라타워가산DK 1층 106호 지번,FC02,3.8
요미우돈교자 퍼블릭가산점,디지털로 178 가산퍼블릭 B동 1층 M-130호 지번,FC02,4.4
코코로식당,벚꽃로38길 32-25 2층 지번,FC02,4.0
텐마루,디지털로12길 21 2층 지번,FC02,4.1
스시히또,벚꽃로 286 리더스타워 지하1층 114호 지번,FC02,3.8
요시카츠,벚꽃로 266 지번,FC02,3.1
준스시,가산디지털2로 165 1층 준스시 지번,FC02,3.9
미미초밥 금천점,시흥대로 192 지번,FC02,5.0
코미오,가산디지털2로 142-13 1층 지번,FC02,4.2
스시쥬베이,가산로 147 지번,FC02,4.9
동흥관,시흥대로63길 20 지번,FC03,3.9
카오룽,시흥대로 291 2층 215호 지번,FC03,4.6
예원 가산점,가산디지털1로 145 에이스하이엔드타워3차 203호 지번,FC03,4.3
보배반점 가산점,가산디지털2로 123 103호 지번,FC03,4.1
호랭이반점 가산디지털단지역점,가산디지털1로 165 가산비지니스센터 105호 지번,FC03,4.4
황실왕짬뽕,가산디지털2로 108 1층 111호 지번,FC03,4.6
