address_cd,category_cd
LA143,SC01
LA143,SC02
LA143,SC03
LA143,SC04
LA143,SC05
LA143,SC06
LA144,SC01
LA144,SC02
LA144,SC03
LA144,SC04
LA144,SC05
LA144,SC06
LA145,SC01
LA145,SC02
LA145,SC03
LA145,SC04
LA145,SC05
LA145,SC06
LA146,SC01
LA146,SC02
LA146,SC03
LA146,SC04
LA146,SC05
LA146,SC06
LA146,SC01
LA146,SC02
LA146,SC03
LA146,SC04
LA146,SC05
LA146,SC06
LA146,SC01
LA146,SC02
LA146,SC03
LA146,SC04
LA146,SC05
LA146,SC06
LA149,SC01
LA149,SC02
LA149,SC03
LA149,SC04
LA149,SC05
LA149,SC06
LA150,SC01
LA150,SC02
LA150,SC03
LA150,SC04
LA150,SC05
LA150,SC06
LA151,SC01
LA151,SC02
LA151,SC03
LA151,SC04
LA151,SC05
LA151,SC06
LA152,SC01
LA152,SC02
LA152,SC03
LA152,SC04
LA152,SC05
LA152,SC06
LA153,SC01
LA153,SC02
LA153,SC03
LA153,SC04
LA153,SC05
LA153,SC06
LA154,SC01
LA154,SC02
LA154,SC03
LA154,SC04
LA154,SC05
LA154,SC06
LA155,SC01
LA155,SC02
LA155,SC03
LA155,SC04
LA155,SC05
LA155,SC06
LA156,SC01
LA156,SC02
LA156,SC03
LA156,SC04
LA156,SC05
LA156,SC06
LA157,SC01
LA157,SC02
LA157,SC03
LA157,SC04
LA157,SC05
LA157,SC06
LA158,SC01
LA158,SC02
LA158,SC03
LA158,SC04
LA158,SC05
LA158,SC06
LA159,SC01
LA159,SC02
LA159,SC03
LA159,SC04
LA159,SC05
LA159,SC06
LA160,SC01
LA160,SC02
LA160,SC03
LA160,SC04
LA160,SC05
LA160,SC06
LA161,SC01
LA161,SC02
LA161,SC03
LA161,SC04
LA161,SC05
LA161,SC06
LA162,SC01
LA162,SC02
LA162,SC03
LA162,SC04
LA162,SC05
LA162,SC06
LA163,SC01
LA163,SC02
LA163,SC03
LA163,SC04
LA163,SC05
LA163,SC06
LA164,SC01
LA164,SC02
LA164,SC03
LA164,SC04
LA164,SC05
LA164,SC06
LA165,SC01
LA165,SC02
LA165,SC03
LA165,SC04
LA165,SC05
LA165,SC06
LA166,SC01
LA166,SC02
LA166,SC03
LA166,SC04
LA166,SC05
LA166,SC06
