address_cd,category_cd
LA01,SC01
LA02,SC01
LA03,SC01
LA04,SC01
LA05,SC01
LA06,SC01
LA07,SC01
LA08,SC01
LA09,SC01
LA10,SC01
LA11,SC01
LA12,SC01
LA13,SC01
LA14,SC01
LA15,SC01
LA16,SC01
LA17,SC01
LA18,SC01
LA19,SC01
LA20,SC01
LA21,SC01
LA22,SC01
LA23,SC01
LA24,SC01
LA25,SC01
LA26,SC01
LA27,SC01
LA28,SC01
LA29,SC01
LA30,SC01
LA31,SC01
LA32,SC01
LA33,SC01
LA34,SC01
LA35,SC01
LA36,SC01
LA37,SC01
LA38,SC01
LA39,SC01
LA40,SC01
LA41,SC01
LA42,SC01
LA43,SC01
LA44,SC01
LA45,SC01
LA46,SC01
LA47,SC01
LA48,SC01
LA49,SC01
LA50,SC01
LA51,SC01
LA52,SC01
LA53,SC01
LA54,SC01
LA55,SC01
LA56,SC01
LA57,SC01
LA58,SC01
LA59,SC01
LA60,SC01
LA61,SC01
LA62,SC01
LA63,SC01
LA64,SC01
LA65,SC01
LA66,SC01
LA67,SC01
LA68,SC01
LA69,SC01
LA70,SC01
LA71,SC01
LA72,SC01
LA73,SC01
LA74,SC01
LA75,SC01
LA76,SC01
LA77,SC01
LA78,SC01
LA79,SC01
LA80,SC01
LA81,SC01
LA82,SC01
LA83,SC01
LA84,SC01
LA85,SC01
LA86,SC01
LA87,SC01
LA88,SC01
LA89,SC01
LA90,SC01
LA91,SC01
LA92,SC01
LA93,SC01
LA94,SC01
LA95,SC01
LA96,SC01
LA97,SC01
LA98,SC01
LA99,SC01
LA100,SC01
LA101,SC01
LA102,SC01
LA103,SC01
LA104,SC01
LA105,SC01
LA106,SC01
LA107,SC01
LA108,SC01
LA109,SC01
LA110,SC01
LA111,SC01
LA112,SC01
LA113,SC01
LA114,SC01
LA115,SC01
LA116,SC01
LA117,SC01
LA118,SC01
LA119,SC01
LA120,SC01
LA121,SC01
LA122,SC01
LA123,SC01
LA124,SC01
LA125,SC01
LA126,SC01
LA127,SC01
LA128,SC01
LA129,SC01
LA130,SC01
LA131,SC01
LA132,SC01
LA133,SC01
LA134,SC01
LA135,SC01
LA136,SC01
LA137,SC01
LA138,SC01
LA139,SC01
LA140,SC01
LA141,SC01
LA142,SC01
LA143,SC01
LA144,SC01
LA145,SC01
LA146,SC01
LA147,SC01
LA148,SC01
LA149,SC01
LA150,SC01
LA151,SC01
LA152,SC01
LA153,SC01
LA154,SC01
LA155,SC01
LA156,SC01
LA157,SC01
LA158,SC01
LA159,SC01
LA160,SC01
LA161,SC01
LA162,SC01
LA163,SC01
LA164,SC01
LA165,SC01
LA166,SC01
LA167,SC01
LA168,SC01
LA169,SC01
LA170,SC01
LA171,SC01
LA172,SC01
LA173,SC01
LA174,SC01
LA175,SC01
LA176,SC01
LA177,SC01
LA178,SC01
LA179,SC01
LA180,SC01
LA181,SC01
LA182,SC01
LA183,SC01
LA184,SC01
LA185,SC01
LA186,SC01
LA187,SC01
LA188,SC01
LA189,SC01
LA190,SC01
LA191,SC01
LA192,SC01
LA193,SC01
LA194,SC01
LA195,SC01
LA196,SC01
LA197,SC01
LA198,SC01
LA199,SC01
LA200,SC01
LA201,SC01
LA202,SC01
LA203,SC01
LA204,SC01
LA205,SC01
LA206,SC01
LA207,SC01
LA208,SC01
LA209,SC01
LA210,SC01
LA211,SC01
LA212,SC01
LA213,SC01
LA214,SC01
LA215,SC01
LA216,SC01
LA217,SC01
LA218,SC01
LA219,SC01
LA220,SC01
LA221,SC01
LA222,SC01
LA223,SC01
LA224,SC01
LA225,SC01
LA226,SC01
LA227,SC01
LA228,SC01
LA229,SC01
LA230,SC01
LA231,SC01
LA232,SC01
LA233,SC01
LA234,SC01
LA235,SC01
LA236,SC01
LA237,SC01
LA238,SC01
LA239,SC01
LA240,SC01
LA241,SC01
LA242,SC01
LA243,SC01
LA244,SC01
LA245,SC01
LA246,SC01
LA247,SC01
LA248,SC01
LA249,SC01
LA250,SC01
LA251,SC01
