주소,위도,경도
강원도 양구군 남면 국토정중앙로 42,380750234467634,128023692037924
강원도 양구군 남면 국토정중앙로 6,380776117804933,128022283793262
강원도 양양군 서면 설악로 2073-33,380603286791573,128560511967604
강원도 양양군 손양면 상운길 44-33,380408301222979,128686964561921
강원도 영월군 영월읍 서부시장길 15-13,371832203601911,128466512276103
강원도 영월군 영월읍 중리1길 107,371820523638647,128481959753362
강원도 영월군 주천면 도천길 3,372701486759136,128266942910066
강원도 원주시 소초면 하황골길 45-19,37367834761562,12799754679222
강원도 인제군 남면 빙어마을길 28,379997894732005,128114570051607
강원도 인제군 북면 갈골로2길 21-1,381238060174032,128220614265496
강원도 정선군 여량면 아우라지길 18,37472196953174,128724544399315
강원도 정선군 여량면 여량3길 79,374732640504481,128726272940002
강원도 철원군 갈말읍 내대1길 29-10,382014994612833,127298163580709
강원도 철원군 갈말읍 군탄로 41,"위도: 381492465501663
경도: 127305460808223",
강원도 철원군 김화읍 금강산로 2012,"위도: 383007671044198
경도: 127357817178779",
강원도 철원군 동송읍 금학로 31-10,"위도: 381929459368273
경도: 127226680723386",
강원도 철원군 동송읍 금학로229번길 6-8,"위도: 382090557938914
경도: 127216895173214",
강원도 철원군 철원읍 대마1길 34-60,"위도: 382653171749785
경도: 127164840917448",
강원도 춘천시 신북읍 율문길107-1,"위도: 379249836365371
경도: 127749665415228",
강원도 평창군 봉평면 장촌길 3,"위도: 376130261551591
경도: 128378883237725",
강원도 홍천군 동면 사락골길 24-2,"위도: 37673983583748
경도: 127944212644855",
강원도 홍천군 화촌면 굴운로75번길 20-5,"위도: 37736053123105
경도: 127950275122256",
강원도 화천군 사내면 수피평로 32-1,"—
—
—",
강원도 화천군 상서면 구둔지길 59,"위도: 381148933076515
경도: 127681483431947",
강원도 화천군 화천읍 가손이길 43,"위도: 381005920454337
경도: 127725534546471",
강원도 횡성군 안흥면 주천강로안흥2길 19-10,"위도: 374017358501883
경도: 128148461840545",
강원도 횡성군 우천면 한우로우항7길 12,"위도: 374513891930062
경도: 128074353138647",
충청북도 괴산군 괴산읍 괴강로느티울길 32,"위도: 36803062670508
경도: 127820440677476",
충청북도 괴산군 괴산읍 괴강로느티울길 8-2,"위도: 368051510045396
경도: 127819241431928",
충청북도 단양군 단양읍 고수동굴길 3-11,"위도: 369876051521303
경도: 128381730882986",
충청북도 단양군 단양읍 도전5길 25 1층,"위도: 369820053245493
경도: 128369911015928",
충청북도 보은군 보은읍 성족2길 41,"위도: 365118482847658
경도: 127757141768111",
충청북도 영동군 상촌면 민주지산로 3013,"위도: 361484108277714
경도: 127914421051363",
충청북도 영동군 영동읍 회동로1길 8,"위도: 361697841879943
경도: 127807858422756",
충청북도 영동군 용산면 용산로1길 24,"
위도: 362575086758345
경도: 127831483848738",
충청북도 옥천군 군북면 소정2길 6-1,"
위도: 363554151802349
경도: 127596386166299",
충청북도 옥천군 옥천읍 향수1길 19-23,"
위도: 363128746133107
경도: 127579863470952",
충청북도 음성군 금왕읍 음성로 1197,"
위도: 369958816781329
경도: 127598443175514",
충청북도 음성군 금왕읍 초금로 740,"
위도: 369779862043812
경도: 127563880296711",
충청북도 음성군 읍성읍 용광로 28,"—
—
—
위도 경도 변환기",
충청북도 제천시 봉양읍 용두대로34길 26,"
위도: 371597026769079
경도: 128163036446201",
충청북도 제천시 중말2길 21,"
위도: 371295570655672
경도: 128249755560739",
충청북도 제천시 중말8길 22,"
위도: 371304999747133
경도: 128254403256627",
충청북도 진천군 진천읍 백사천길 41,"
위도: 368605499142279
경도: 127444282362261",
충청북도 진천군 초평면 금오길 55,"
위도: 368093204740207
경도: 127510738740995",
충청북도 청원군 오창읍 구룡택지로 17,"
위도: 367094086066031
경도: 12741315909587",
충청북도 청주시 상당구 성내로118번길 1,"
위도: 366635173404286
경도: 12754235907547",
충청북도 청주시 상당구 직지대로 817,"—
—
—",
충청북도 청주시 서원구 남이면 남이외천길 21,"
위도: 365528842331988
경도: 127429724727491",
충청북도 청주시 서원구 용평로113번길 23,"
위도: 366050748706631
경도: 127488306969194",
충청북도 청주시 청원구 내수읍 미원초정로 1302,"
위도: 367160930132841
경도: 1276033549159",
충청북도 청주시 청원구 오창읍 성산2길 20,"
위도: 367414178152045
경도: 127424707457758",
충청북도 충주시 금가면 경촌1길 2,"
위도: 370431214089605
경도: 127926540755447",
충청북도 충주시 노은면 연화2길 10,"
위도: 370450944297049
경도: 127762759417369",
충청북도 충주시 산척면 동산로 676,"
위도: 370778182292316
경도: 127960440092099",
충청북도 충주시 엄정면 새동네1길 7-24,"
위도: 370798628870398
경도: 127892656901374",
대전광역시 동구 백룡로75-43,"
위도: 363341901980187
경도: 127455251365759",
대전광역시 서구 문정로 40번길 64,"
위도: 363436627999183
경도: 127383446015384",
대전광역시 유성구 궁동로번길 14,"—
—
—",
대전과역시 중구 태평로 116,"—
—
—",
세종특별자치시 금남면 초정길 37,"
위도: 36482155255995
경도: 127338048308581",
세종특별자치시 금남면 초정길 69,"
위도: 364834069810176
경도: 127338677221188",
충청남도 계룡시 엄사면 배울길 97,"
위도: 362595113407446
경도: 127211481979792",
충청남도 금산군 추부면 상마전길 9-3,"
위도: 361924412073282
경도: 12746653241602",
충청남도 논산시 가야곡면 산노1길 89-21,"
위도: 361701415559303
경도: 127179879413423",
충청남도 논산시 관촉로31번길 36-1,"
위도: 36191816224433
경도: 127113406265243",
충청남도 논산시 부적면 신풍길 84-15,"
위도: 361812881722272
경도: 127177855024809",
충청남도 논산시 중앙로 398번길 7-7,"
위도: 362004716527914
경도: 127089242949034",
충청남도 당진시 고대면 항곡로 321,"
위도: 369155049913623
경도: 126605737344517",
충청남도 보령시 주교면 연지리길 334,"
위도: 363913271620378
경도: 126562854362149",
충청남도 보령시 천북면 홍보로 666,"
위도: 364959725707747
경도: 126523419477532",
충청남도 보령시 청라면 냉풍욕장길 6,"
위도: 363882125742472
경도: 12665670715787",
충청남도 부여군 부여읍 나루터로62번길 20,"
위도: 362892110199256
경도: 126908827389564",
충청남도 서산시 대산읍 삼길포1로 165-1,"
위도: 370069537762121
경도: 126442801392979",
충청남도 서천군 서면 신월길 10,"
위도: 361525750349619
경도: 126551192886625",
충청남도 서천군 한산면 한산모시길 46,"
위도: 36085618102106
경도: 126803243242039",
충청남도 아산시 신창면 신정호길 266,"
위도: 367615096306387
경도: 126966909100761",
충청남도 청양군 대치면 사수터길 115-8,"충남 청양군 대치면 사수터길 115-8
363936861755956
126858768667977
📋 전체복사 363936861755956,126858768667977
충남 청양군 대치면 사수터길 115-8
위도: 363936861755956
경도: 126858768667977",
충청남도 청양군 비봉면 은골길 1,"충남 청양군 비봉면 은골길 1
365185808009761
126786492875787
📋 전체복사 365185808009761,126786492875787
충남 청양군 비봉면 은골길 1
위도: 365185808009761
경도: 126786492875787",
충청남도 태안군 소원면 파도길 63-6,"충남 태안군 소원면 파도길 63-6
367381740989269
126133841253064
📋 전체복사 367381740989269,126133841253064
충남 태안군 소원면 파도길 63-6
위도: 367381740989269
경도: 126133841253064",
충청남도 태안군 안면읍 등마루1길 125,"충남 태안군 안면읍 등마루1길 125
365974778041723
126337224370659
📋 전체복사 365974778041723,126337224370659
충남 태안군 안면읍 등마루1길 125
위도: 365974778041723
경도: 126337224370659",
충청남도 태안군 이원면 원이로 1559,"충남 태안군 이원면 원이로 1559
368711503480315
126280924928424
📋 전체복사 368711503480315,126280924928424
충남 태안군 이원면 원이로 1559
위도: 368711503480315
경도: 126280924928424",
충청남도 홍성군 갈산면 갈산로150번길 10,"충남 홍성군 갈산면 갈산로150번길 10
36600842937005
126554683680898
📋 전체복사 36600842937005,126554683680898
충남 홍성군 갈산면 갈산로150번길 10
위도: 36600842937005
경도: 126554683680898",
충청남도 홍성군 광천읍 광천로273번길 19,"충남 홍성군 광천읍 광천로273번길 19
364994041168817
126623846452173
📋 전체복사 364994041168817,126623846452173
충남 홍성군 광천읍 광천로273번길 19
위도: 364994041168817
경도: 126623846452173",
충청남도 홍성군 서부면 서부서길418번길 49,"충남 홍성군 서부면 서부서길418번길 49
365906295750614
126457444256625
📋 전체복사 365906295750614,126457444256625
충남 홍성군 서부면 서부서길418번길 49
위도: 365906295750614
경도: 126457444256625",
충청남도 홍성군 홍북면 이응노로 255,"충남 홍성군 홍북읍 이응노로 255
366318905112253
126647828461501
📋 전체복사 366318905112253,126647828461501
충남 홍성군 홍북읍 이응노로 255
위도: 366318905112253
경도: 126647828461501",
충청남도 홍성군 홍북읍 애향4길 21,"충남 홍성군 홍북읍 애향4길 21
366584863294751
126684721017466
📋 전체복사 366584863294751,126684721017466
충남 홍성군 홍북읍 애향4길 21
위도: 366584863294751
경도: 126684721017466",
충청남도 홍성군 홍성읍 조양로120번길 17,"충남 홍성군 홍성읍 조양로120번길 17
366014313739545
12666318726057
📋 전체복사 366014313739545,12666318726057
충남 홍성군 홍성읍 조양로120번길 17
위도: 366014313739545
경도: 12666318726057",
전라북도 고창군 상하면 구시포해변길 135,"전북특별자치도 고창군 상하면 구시포해변길 135
354460756599552
126443907430313
📋 전체복사 354460756599552,126443907430313
전북특별자치도 고창군 상하면 구시포해변길 135
위도: 354460756599552
경도: 126443907430313",
전라북도 고창군 아산면 선운대로 2781,"전북특별자치도 고창군 아산면 선운대로 2781
355077614853875
126605478442911
📋 전체복사 355077614853875,126605478442911
전북특별자치도 고창군 아산면 선운대로 2781
위도: 355077614853875
경도: 126605478442911",
전라북도 김제시 백산면 하정2길 221,"전북특별자치도 김제시 백산면 하정2길 221
358410597331241
126894297456855
📋 전체복사 358410597331241,126894297456855
전북특별자치도 김제시 백산면 하정2길 221
위도: 358410597331241
경도: 126894297456855",
전라북도 김제시 진봉면 가실5길 82,"전북특별자치도 김제시 진봉면 가실5길 82
35839755400884
12680040068104
📋 전체복사 35839755400884,12680040068104
전북특별자치도 김제시 진봉면 가실5길 82
위도: 35839755400884
경도: 12680040068104",
전라북도 남원시 천거길 9,"전북특별자치도 남원시 천거길 9
354004101546184
127375335015311
📋 전체복사 354004101546184,127375335015311
전북특별자치도 남원시 천거길 9
위도: 354004101546184
경도: 127375335015311",
전라북도 부안군 동진면 청운길 6-1,"전북특별자치도 부안군 동진면 청운길 6-1
357478886024815
126770922939932
📋 전체복사 357478886024815,126770922939932
전북특별자치도 부안군 동진면 청운길 6-1
위도: 357478886024815
경도: 126770922939932",
전라북도 부안군 줄포면 줄포6길 1,"전북특별자치도 부안군 줄포면 줄포6길 1
355920248043558
126677549526107
📋 전체복사 355920248043558,126677549526107
전북특별자치도 부안군 줄포면 줄포6길 1
위도: 355920248043558
경도: 126677549526107",
전라북도 부안군 줄포면 줄포길 67,"전북특별자치도 부안군 줄포면 줄포길 67
355940340475539
126677851651168
📋 전체복사 355940340475539,126677851651168
전북특별자치도 부안군 줄포면 줄포길 67
위도: 355940340475539
경도: 126677851651168",
전라북도 순창군 금과면 방축1길 7-1,"전북특별자치도 순창군 금과면 방축1길 7-1
353505367276961
127071782550318
📋 전체복사 353505367276961,127071782550318
전북특별자치도 순창군 금과면 방축1길 7-1
위도: 353505367276961
경도: 127071782550318",
전라북도 완주군 비봉면 천호로 554,"전북특별자치도 완주군 비봉면 천호로 554
359960480803329
127138410527622
📋 전체복사 359960480803329,127138410527622
전북특별자치도 완주군 비봉면 천호로 554
위도: 359960480803329
경도: 127138410527622",
전라북도 완주군 용진면 구억명덕로 11,"전북특별자치도 완주군 용진읍 구억명덕로 11
358758817238822
12715832071577
📋 전체복사 358758817238822,12715832071577
전북특별자치도 완주군 용진읍 구억명덕로 11
위도: 358758817238822
경도: 12715832071577",
전라북도 완주군 용진읍 순지1길 5,"전북특별자치도 완주군 용진읍 순지1길 5
35938727367102
127174506948798
📋 전체복사 35938727367102,127174506948798
전북특별자치도 완주군 용진읍 순지1길 5
위도: 35938727367102
경도: 127174506948798",
전라북도 완주군 운주면 장선로 125,"전북특별자치도 완주군 운주면 장선로 125
360928866642943
127277131353906
📋 전체복사 360928866642943,127277131353906
전북특별자치도 완주군 운주면 장선로 125
위도: 360928866642943
경도: 127277131353906",
전라북도 익산시 현영길 40-28,"전북특별자치도 익산시 현영길 40-28
359641025230126
126936484902884
📋 전체복사 359641025230126,126936484902884
전북특별자치도 익산시 현영길 40-28
위도: 359641025230126
경도: 126936484902884",
전라북도 임실군 임실읍 봉황8길 8,"전북특별자치도 임실군 임실읍 봉황8길 8
356147538821357
127281519637267
📋 전체복사 356147538821357,127281519637267
전북특별자치도 임실군 임실읍 봉황8길 8
위도: 356147538821357
경도: 127281519637267",
전라북도 장수군 계북면 양악리 3-1,"전북특별자치도 장수군 계북면 양악리 3-1
358017634817977
127657459714821
📋 전체복사 358017634817977,127657459714821
전북특별자치도 장수군 계북면 양악리 3-1
위도: 358017634817977
경도: 127657459714821",
전라북도 전주시 덕진구 호성2길 7-8,"전북특별자치도 전주시 덕진구 호성2길 7-8
358592175789957
127153163119619
📋 전체복사 358592175789957,127153163119619
전북특별자치도 전주시 덕진구 호성2길 7-8
위도: 358592175789957
경도: 127153163119619",
전라북도 전주시 완산구 문화광장로 18,"전북특별자치도 전주시 완산구 문화광장로 18
358223510540406
127146131649676
📋 전체복사 358223510540406,127146131649676
전북특별자치도 전주시 완산구 문화광장로 18
위도: 358223510540406
경도: 127146131649676",
전라북도 전주시 완산구 문화광장로 29,"전북특별자치도 전주시 완산구 문화광장로 29
358233008082232
127146643989286
📋 전체복사 358233008082232,127146643989286
전북특별자치도 전주시 완산구 문화광장로 29
위도: 358233008082232
경도: 127146643989286",
전라북도 전주시 완산구 소태정3길 5-4,"전북특별자치도 전주시 완산구 소태정3길 5-4
358034595150658
127100458370304
📋 전체복사 358034595150658,127100458370304
전북특별자치도 전주시 완산구 소태정3길 5-4
위도: 358034595150658
경도: 127100458370304",
전라북도 전주시 완산구 장자길 67,"전북특별자치도 전주시 완산구 장자길 67
357769862004495
127102394270375
📋 전체복사 357769862004495,127102394270375
전북특별자치도 전주시 완산구 장자길 67
위도: 357769862004495
경도: 127102394270375",
전라북도 정읍시 송산1길 25,"전북특별자치도 정읍시 송산1길 25
355531158355206
126866404690975
📋 전체복사 355531158355206,126866404690975
전북특별자치도 정읍시 송산1길 25
위도: 355531158355206
경도: 126866404690975",
전라북도 정읍시 태인면 수학정석길 3,"전북특별자치도 정읍시 태인면 수학정석길 3
356517566702148
126942970630912
📋 전체복사 356517566702148,126942970630912
전북특별자치도 정읍시 태인면 수학정석길 3
위도: 356517566702148
경도: 126942970630912",
전라북도 정읍시 태인면 태인로 29-3,"전북특별자치도 정읍시 태인면 태인로 29-3
356519013927466
126941976913703
📋 전체복사 356519013927466,126941976913703
전북특별자치도 정읍시 태인면 태인로 29-3
위도: 356519013927466
경도: 126941976913703",
전라북도 진안군 정천면 석원로 151,"전북특별자치도 진안군 정천면 석원로 151
358579205376494
127435708155236
📋 전체복사 358579205376494,127435708155236
전북특별자치도 진안군 정천면 석원로 151
위도: 358579205376494
경도: 127435708155236",
광주광역시 북구 용주로 30번길 94,"광주 북구 용주로30번길 94
351819518333999
126904543028215
📋 전체복사 351819518333999,126904543028215
광주 북구 용주로30번길 94
위도: 351819518333999
경도: 126904543028215",
광주광역시 서구 풍금로177번길 9,"광주 서구 풍금로177번길 9
351315261044233
126858397489601
📋 전체복사 351315261044233,126858397489601
광주 서구 풍금로177번길 9
위도: 351315261044233
경도: 126858397489601",
전라남도 강진군 마량면 미항로 139-1,"전남 강진군 마량면 미항로 139-1
344498376279672
126817479321111
📋 전체복사 344498376279672,126817479321111
전남 강진군 마량면 미항로 139-1
위도: 344498376279672
경도: 126817479321111",
전라남도 강진군 마량면 미항로 173-1,"전남 강진군 마량면 미항로 173-1
344491221745213
126820980489286
📋 전체복사 344491221745213,126820980489286
전남 강진군 마량면 미항로 173-1
위도: 344491221745213
경도: 126820980489286",
전라남도 고흥군 두원면 고흥로 2805-23,"전남 고흥군 두원면 고흥로 2805-23
346314782856761
127297087639958
📋 전체복사 346314782856761,127297087639958
전남 고흥군 두원면 고흥로 2805-23
위도: 346314782856761
경도: 127297087639958",
전라남도 곡성군 곡성읍 읍내리 218,"전남 곡성군 곡성읍 읍내리 218
352791463228509
127298034116269
📋 전체복사 352791463228509,127298034116269
전남 곡성군 곡성읍 읍내리 218
위도: 352791463228509
경도: 127298034116269",
전라남도 곡성군 곡성읍 읍내17길 11,"전남 곡성군 곡성읍 읍내17길 11
35281817885443
127293537586268
📋 전체복사 35281817885443,127293537586268
전남 곡성군 곡성읍 읍내17길 11
위도: 35281817885443
경도: 127293537586268",
전라남도 곡성군 곡성읍 학정1길 9-21,"전남 곡성군 곡성읍 학정1길 9-21
352903388984181
127284924463167
📋 전체복사 352903388984181,127284924463167
전남 곡성군 곡성읍 학정1길 9-21
위도: 352903388984181
경도: 127284924463167",
전라남도 광양시 광양읍 와룡1길 10,"전남 광양시 광양읍 와룡1길 10
349715053371289
127609580439811
📋 전체복사 349715053371289,127609580439811
전남 광양시 광양읍 와룡1길 10
위도: 349715053371289
경도: 127609580439811",
전라남도 광양시 옥곡면 명주로 2,"전남 광양시 옥곡면 명주로 2
349934805408035
127700690974122
📋 전체복사 349934805408035,127700690974122
전남 광양시 옥곡면 명주로 2
위도: 349934805408035
경도: 127700690974122",
전라남도 광양시 옥룡면 상산길 15,"전남 광양시 옥룡면 상산길 15
350435718691079
127592166004762
📋 전체복사 350435718691079,127592166004762
전남 광양시 옥룡면 상산길 15
위도: 350435718691079
경도: 127592166004762",
전라남도 광영시 중마로 273,"—
—
—",
전라남도 광양시 행정1길 6-5,"전남 광양시 행정1길 6-5
349419574735896
127694122031615
📋 전체복사 349419574735896,127694122031615
전남 광양시 행정1길 6-5
위도: 349419574735896
경도: 127694122031615",
전라남도 구례군 구례읍 까막정길 51-8 50,"—
—
—",
전라남도 구례군 산동면 당골길 86-31,"전남 구례군 산동면 당골길 86-31
353142124626713
127487091140332
📋 전체복사 353142124626713,127487091140332
전남 구례군 산동면 당골길 86-31
위도: 353142124626713
경도: 127487091140332",
전라남도 나주시 다도면 나주호로 162,"전남 나주시 다도면 나주호로 162
349636556959611
126841158881106
📋 전체복사 349636556959611,126841158881106
전남 나주시 다도면 나주호로 162
위도: 349636556959611
경도: 126841158881106",
전라남도 목포시 복산길12번길 5,"전남 목포시 복산길12번길 5
348039229360731
126436695653461
📋 전체복사 348039229360731,126436695653461
전남 목포시 복산길12번길 5
위도: 348039229360731
경도: 126436695653461",
전라남도 목포시 송림로40번길 22,"전남 목포시 송림로40번길 22
348069329443313
126400192397714
📋 전체복사 348069329443313,126400192397714
전남 목포시 송림로40번길 22
위도: 348069329443313
경도: 126400192397714",
전라남도 목포시 신흥로 98,"전남 목포시 신흥로 98
348054315767686
126430684971817
📋 전체복사 348054315767686,126430684971817
전남 목포시 신흥로 98
위도: 348054315767686
경도: 126430684971817",
전라남도 무안군 망운면 망운로 13,"전남 무안군 망운면 망운로 13
350134453096896
126391658785134
📋 전체복사 350134453096896,126391658785134
전남 무안군 망운면 망운로 13
위도: 350134453096896
경도: 126391658785134",
전라남도 무안군 망운면 조산길 2,"전남 무안군 망운면 조산길 2
350114829280126
126391978211352
📋 전체복사 350114829280126,126391978211352
전남 무안군 망운면 조산길 2
위도: 350114829280126
경도: 126391978211352",
전라남도 무안군 삼향읍 중등포길 35-37,"전남 무안군 삼향읍 중등포길 35-37
348447949205811
126428842445995
📋 전체복사 348447949205811,126428842445995
전남 무안군 삼향읍 중등포길 35-37
위도: 348447949205811
경도: 126428842445995",
전라남도 무안군 청계면 도대로 125-9,"전남 무안군 청계면 도대로 125-9
349684852828044
126441352309919
📋 전체복사 349684852828044,126441352309919
전남 무안군 청계면 도대로 125-9
위도: 349684852828044
경도: 126441352309919",
전라남도 보성군 노동면 보림길 2,"전남 보성군 노동면 보림길 2
347959315678409
12706941029374
📋 전체복사 347959315678409,12706941029374
전남 보성군 노동면 보림길 2
위도: 347959315678409
경도: 12706941029374",
전라남도 보성군 미력면 초당길 9-4,"전남 보성군 미력면 초당길 9-4
347758266761836
127107499574337
📋 전체복사 347758266761836,127107499574337
전남 보성군 미력면 초당길 9-4
위도: 347758266761836
경도: 127107499574337",
전라남도 신안군 암태면 진작지길 227-17 1동,"전남 신안군 암태면 진작지길 227-17
348780125874329
126145091060962
📋 전체복사 348780125874329,126145091060962
전남 신안군 암태면 진작지길 227-17
위도: 348780125874329
경도: 126145091060962",
전라남도 신안군 압해읍 학동길 66-20,"전남 신안군 압해읍 학동길 66-20
348684896100117
12631691161184
📋 전체복사 348684896100117,12631691161184
전남 신안군 압해읍 학동길 66-20
위도: 348684896100117
경도: 12631691161184",
전라남도 여수시 남산남1길 34,"전남 여수시 남산남1길 34
34729450801031
127731326953077
📋 전체복사 34729450801031,127731326953077
전남 여수시 남산남1길 34
위도: 34729450801031
경도: 127731326953077",
전라남도 영암군 덕진면 새터신정길 71,"전남 영암군 덕진면 새터신정길 71
348192297420293
126698155267963
📋 전체복사 348192297420293,126698155267963
전남 영암군 덕진면 새터신정길 71
위도: 348192297420293
경도: 126698155267963",
전라남도 영암군 신북면 고분로 1014,"전남 영암군 신북면 고분로 1014
349344973460435
126672794625023
📋 전체복사 349344973460435,126672794625023
전남 영암군 신북면 고분로 1014
위도: 349344973460435
경도: 126672794625023",
전라남도 완도군 신지면 명사십리길 85-29,"전남 완도군 신지면 명사십리길 85-29
343269867232022
126805105562748
📋 전체복사 343269867232022,126805105562748
전남 완도군 신지면 명사십리길 85-29
위도: 343269867232022
경도: 126805105562748",
전라남도 완도군 완도읍 개포로 145번길 39,"전남 완도군 완도읍 개포로145번길 39
343224090760729
126741877072963
📋 전체복사 343224090760729,126741877072963
전남 완도군 완도읍 개포로145번길 39
위도: 343224090760729
경도: 126741877072963",
전라남도 완도군 완도읍 군내11번길 15,"전남 완도군 완도읍 군내11번길 15
343133031099772
126757622443593
📋 전체복사 343133031099772,126757622443593
전남 완도군 완도읍 군내11번길 15
위도: 343133031099772
경도: 126757622443593",
전라남도 완도군 완도읍 장보고대로 191-1,"전남 완도군 완도읍 장보고대로 191-1
343183174531106
126747770469687
📋 전체복사 343183174531106,126747770469687
전남 완도군 완도읍 장보고대로 191-1
위도: 343183174531106
경도: 126747770469687",
전라남도 완도군 완도읍 청해진남로24번길 32,"전남 완도군 완도읍 청해진남로24번길 32
343152222260438
126754070194546
📋 전체복사 343152222260438,126754070194546
전남 완도군 완도읍 청해진남로24번길 32
위도: 343152222260438
경도: 126754070194546",
전라남도 장성군 진원면 영신2길 65,"전남 장성군 진원면 영신2길 65
352675935642651
126804364416196
📋 전체복사 352675935642651,126804364416196
전남 장성군 진원면 영신2길 65
위도: 352675935642651
경도: 126804364416196",
전라남도 장성군 황룡면 구석길 53-2,"전남 장성군 황룡면 구석길 53-2
353039311706967
126745530146184
📋 전체복사 353039311706967,126745530146184
전남 장성군 황룡면 구석길 53-2
위도: 353039311706967
경도: 126745530146184",
전라남도 장흥군 장흥읍 토요시장3길 15,"전남 장흥군 장흥읍 토요시장3길 15
346763679677893
12690286193253
📋 전체복사 346763679677893,12690286193253
전남 장흥군 장흥읍 토요시장3길 15
위도: 346763679677893
경도: 12690286193253",
전라남도 장흥군 회진면 회진선창길 10-1,"전남 장흥군 회진면 회진선창길 10-1
344826751056225
126940370012067
📋 전체복사 344826751056225,126940370012067
전남 장흥군 회진면 회진선창길 10-1
위도: 344826751056225
경도: 126940370012067",
전라남도 진도군 진도읍 교동5길 109,"전남 진도군 진도읍 교동5길 109
344872043036075
12625163091147
📋 전체복사 344872043036075,12625163091147
전남 진도군 진도읍 교동5길 109
위도: 344872043036075
경도: 12625163091147",
전라남도 함평군 함평읍 내바람길 39,"전남 함평군 함평읍 내바람길 39
350629887961209
126520925373489
📋 전체복사 350629887961209,126520925373489
전남 함평군 함평읍 내바람길 39
위도: 350629887961209
경도: 126520925373489",
전라남도 함평군 함평읍 시장길 32,"전남 함평군 함평읍 시장길 32
350642540391818
126522777376485
📋 전체복사 350642540391818,126522777376485
전남 함평군 함평읍 시장길 32
위도: 350642540391818
경도: 126522777376485",
